run; iterations; problem; colony size; Setup rand Kernel; read map; Distance Kernel; Iroulete ; Route ; Pheromone; Best Check;  Copy Data; Total Time ; 
 2; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 3; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 4; 15; 6; 8192; 0.00011; 0.01755; 0.00150; 0.03307;  13.01940; 0.07000;  0.07000; 0.00005 ;  63199.100808 ; 196.426139 ;
 0; 15; 7; 1024; 0.00253; 0.04470; 0.00014; 0.00515;  0.17673; 0.00055;  0.00055; 0.00007 ;  50226.879025 ; 2.847358 ;
 1; 15; 7; 1024; 0.00008; 0.00149; 0.00010; 0.00350;  0.17418; 0.00054;  0.00054; 0.00004 ;  50034.365323 ; 2.630457 ;
 2; 15; 7; 1024; 0.00007; 0.00148; 0.00010; 0.00350;  0.17428; 0.00054;  0.00054; 0.00002 ;  50679.010822 ; 2.632015 ;
 3; 15; 7; 1024; 0.00007; 0.00148; 0.00010; 0.00352;  0.17438; 0.00054;  0.00054; 0.00002 ;  50483.178122 ; 2.633308 ;
 4; 15; 7; 1024; 0.00007; 0.00144; 0.00010; 0.00350;  0.17426; 0.00055;  0.00055; 0.00006 ;  50347.057833 ; 2.631596 ;
 0; 15; 7; 2048; 0.00008; 0.00140; 0.00010; 0.00351;  0.17513; 0.00104;  0.00104; 0.00002 ;  50864.337859 ; 2.653715 ;
 1; 15; 7; 2048; 0.00009; 0.00144; 0.00010; 0.00350;  0.17513; 0.00104;  0.00104; 0.00004 ;  49385.068889 ; 2.653925 ;
 2; 15; 7; 2048; 0.00008; 0.00142; 0.00010; 0.00350;  0.17526; 0.00104;  0.00104; 0.00002 ;  49751.282679 ; 2.655644 ;
 3; 15; 7; 2048; 0.00008; 0.00141; 0.00010; 0.00350;  0.17595; 0.00104;  0.00104; 0.00002 ;  49912.154800 ; 2.666264 ;
 4; 15; 7; 2048; 0.00008; 0.00143; 0.00010; 0.00352;  0.17684; 0.00105;  0.00105; 0.00005 ;  50276.544661 ; 2.679582 ;
 0; 15; 7; 4096; 0.00009; 0.00144; 0.00010; 0.00353;  0.20306; 0.00204;  0.00204; 0.00002 ;  50379.436888 ; 3.102995 ;
 1; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00352;  0.20310; 0.00204;  0.00204; 0.00003 ;  49765.939789 ; 3.091722 ;
 2; 15; 7; 4096; 0.00009; 0.00146; 0.00010; 0.00353;  0.20454; 0.00205;  0.00205; 0.00002 ;  50455.730162 ; 3.113698 ;
 3; 15; 7; 4096; 0.00009; 0.00145; 0.00010; 0.00355;  0.20472; 0.00206;  0.00206; 0.00005 ;  48969.628923 ; 3.116423 ;
 4; 15; 7; 4096; 0.00009; 0.00141; 0.00010; 0.00355;  0.20500; 0.00206;  0.00206; 0.00003 ;  49584.655479 ; 3.121354 ;
 0; 15; 7; 8192; 0.00010; 0.00137; 0.00010; 0.00355;  0.37122; 0.00407;  0.00407; 0.00003 ;  48708.815423 ; 5.651908 ;
 1; 15; 7; 8192; 0.00010; 0.00142; 0.00011; 0.00357;  0.37450; 0.00407;  0.00407; 0.00003 ;  49970.459521 ; 5.701778 ;
 2; 15; 7; 8192; 0.00011; 0.00133; 0.00011; 0.00358;  0.37204; 0.00409;  0.00409; 0.00005 ;  48949.007130 ; 5.664985 ;
 3; 15; 7; 8192; 0.00010; 0.00134; 0.00010; 0.00357;  0.37521; 0.00410;  0.00410; 0.00003 ;  49014.845471 ; 5.712814 ;
 4; 15; 7; 8192; 0.00011; 0.00282; 0.00011; 0.00358;  0.37468; 0.00414;  0.00414; 0.00003 ;  49261.265262 ; 5.706997 ;
 0; 15; 8; 1024; 0.00253; 0.01889; 0.00027; 0.00707;  0.32334; 0.00106;  0.00106; 0.00006 ;  64780.184872 ; 5.031410 ;
 1; 15; 8; 1024; 0.00008; 0.00275; 0.00019; 0.00502;  0.31985; 0.00105;  0.00105; 0.00005 ;  63656.758095 ; 4.827408 ;
 2; 15; 8; 1024; 0.00008; 0.00278; 0.00019; 0.00501;  0.32036; 0.00106;  0.00106; 0.00005 ;  63809.080223 ; 4.835206 ;
 3; 15; 8; 1024; 0.00008; 0.00271; 0.00019; 0.00508;  0.32305; 0.00106;  0.00106; 0.00005 ;  62923.183355 ; 4.875745 ;
 4; 15; 8; 1024; 0.00008; 0.00265; 0.00020; 0.00505;  0.32181; 0.00106;  0.00106; 0.00002 ;  62609.653364 ; 4.856956 ;
 0; 15; 8; 2048; 0.00015; 0.00301; 0.00020; 0.00506;  0.32650; 0.00204;  0.00204; 0.00007 ;  62694.766848 ; 4.945938 ;
 1; 15; 8; 2048; 0.00010; 0.00265; 0.00020; 0.00507;  0.32912; 0.00206;  0.00206; 0.00003 ;  62210.329457 ; 4.984280 ;
 2; 15; 8; 2048; 0.00009; 0.00422; 0.00020; 0.00510;  0.32848; 0.00206;  0.00206; 0.00003 ;  63484.636392 ; 4.976457 ;
 3; 15; 8; 2048; 0.00009; 0.00306; 0.00020; 0.00509;  0.32728; 0.00207;  0.00207; 0.00016 ;  63544.163269 ; 4.957566 ;
 4; 15; 8; 2048; 0.00009; 0.00282; 0.00021; 0.00512;  0.32950; 0.00206;  0.00206; 0.00005 ;  64024.852399 ; 4.990636 ;
 0; 15; 8; 4096; 0.00009; 0.00273; 0.00020; 0.00511;  0.38029; 0.00403;  0.00403; 0.00003 ;  63982.448791 ; 5.785311 ;
 1; 15; 8; 4096; 0.00009; 0.00268; 0.00019; 0.00509;  0.38083; 0.00405;  0.00405; 0.00006 ;  62375.937540 ; 5.793246 ;
 2; 15; 8; 4096; 0.00010; 0.00279; 0.00020; 0.00516;  0.38267; 0.00406;  0.00406; 0.00003 ;  63093.758096 ; 5.827403 ;
 3; 15; 8; 4096; 0.00009; 0.00270; 0.00020; 0.00516;  0.38304; 0.00406;  0.00406; 0.00003 ;  62316.025805 ; 5.827072 ;
 4; 15; 8; 4096; 0.00010; 0.00264; 0.00020; 0.00517;  0.38226; 0.00407;  0.00407; 0.00007 ;  64182.128850 ; 5.814911 ;
 0; 15; 8; 8192; 0.00010; 0.00278; 0.00020; 0.00516;  0.90566; 0.00810;  0.00810; 0.00007 ;  63321.968507 ; 13.735455 ;
 1; 15; 8; 8192; 0.00011; 0.00280; 0.00020; 0.00518;  0.90853; 0.00811;  0.00811; 0.00004 ;  61834.165849 ; 13.778972 ;
 2; 15; 8; 8192; 0.00011; 0.00428; 0.00020; 0.00523;  0.90928; 0.00819;  0.00819; 0.00008 ;  63211.272599 ; 13.792980 ;
 3; 15; 8; 8192; 0.00011; 0.00291; 0.00020; 0.00521;  0.91510; 0.00819;  0.00819; 0.00004 ;  62517.616680 ; 13.878364 ;
 4; 15; 8; 8192; 0.00011; 0.00285; 0.00020; 0.00523;  0.91021; 0.00819;  0.00819; 0.00008 ;  63137.522805 ; 13.805076 ;
 0; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 1; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 2; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 3; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 4; 15; 9; 1024; 0.00256; 0.01599; 0.00173; 0.04101;  3.71817; 0.00730;  0.00730; 0.00008 ;  77417.828864 ; 56.142686 ;
 0; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
 1; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
 2; 15; 9; 2048; 0.00009; 0.01507; 0.00124; 0.02923;  3.78169; 0.01444;  0.01444; 0.00006 ;  77418.757283 ; 57.006089 ;
