run, iterations, problem, colony size, Setup rand Kernel, read map, Distance Kernel, Iroulete , Route , Pheromone, Best Check,  Copy Data,Fitness ,Total Time,,
2,15,7,1024,7E-05,0.00148,0.0001,0.0035,0.17428,0.00054,0.00054,2E-05,50679.010822,2.632015,dist,0.000108
3,15,7,1024,7E-05,0.00148,0.0001,0.00352,0.17438,0.00054,0.00054,2E-05,50483.178122,2.633308,roulete,0.003834
4,15,7,1024,7E-05,0.00144,0.0001,0.0035,0.17426,0.00055,0.00055,6E-05,50347.057833,2.631596,route,0.174766
0,,,,,,,,,,,,,,phero,0.000544
0,,,,,,,,,,,,,,check,0.000544
0,,,,,,,,,,,,,,cpy,4.2E-05
0,,,,,,,,,,,,,,total,2.6749468
0,15,7,2048,8E-05,0.0014,0.0001,0.00351,0.17513,0.00104,0.00104,2E-05,50864.337859,2.653715,rand,8.2E-05
1,15,7,2048,9E-05,0.00144,0.0001,0.0035,0.17513,0.00104,0.00104,4E-05,49385.068889,2.653925,read,0.00142
2,15,7,2048,8E-05,0.00142,0.0001,0.0035,0.17526,0.00104,0.00104,2E-05,49751.282679,2.655644,dist,0.0001
3,15,7,2048,8E-05,0.00141,0.0001,0.0035,0.17595,0.00104,0.00104,2E-05,49912.1548,2.666264,roulete,0.003506
4,15,7,2048,8E-05,0.00143,0.0001,0.00352,0.17684,0.00105,0.00105,5E-05,50276.544661,2.679582,route,0.175662
0,,,,,,,,,,,,,,phero,0.001042
0,,,,,,,,,,,,,,check,0.001042
0,,,,,,,,,,,,,,cpy,3E-05
0,,,,,,,,,,,,,,total,2.661826
0,15,7,4096,9E-05,0.00144,0.0001,0.00353,0.20306,0.00204,0.00204,2E-05,50379.436888,3.102995,rand,9E-05
1,15,7,4096,9E-05,0.00146,0.0001,0.00352,0.2031,0.00204,0.00204,3E-05,49765.939789,3.091722,read,0.001444
2,15,7,4096,9E-05,0.00146,0.0001,0.00353,0.20454,0.00205,0.00205,2E-05,50455.730162,3.113698,dist,0.0001
3,15,7,4096,9E-05,0.00145,0.0001,0.00355,0.20472,0.00206,0.00206,5E-05,48969.628923,3.116423,roulete,0.003536
4,15,7,4096,9E-05,0.00141,0.0001,0.00355,0.205,0.00206,0.00206,3E-05,49584.655479,3.121354,route,0.204084
0,,,,,,,,,,,,,,phero,0.00205
0,,,,,,,,,,,,,,check,0.00205
0,,,,,,,,,,,,,,cpy,3E-05
0,,,,,,,,,,,,,,total,3.1092384
0,15,7,8192,0.0001,0.00137,0.0001,0.00355,0.37122,0.00407,0.00407,3E-05,48708.815423,5.651908,rand,0.000104
1,15,7,8192,0.0001,0.00142,0.00011,0.00357,0.3745,0.00407,0.00407,3E-05,49970.459521,5.701778,read,0.001656
2,15,7,8192,0.00011,0.00133,0.00011,0.00358,0.37204,0.00409,0.00409,5E-05,48949.00713,5.664985,dist,0.000106
3,15,7,8192,0.0001,0.00134,0.0001,0.00357,0.37521,0.0041,0.0041,3E-05,49014.845471,5.712814,roulete,0.00357
4,15,7,8192,0.00011,0.00282,0.00011,0.00358,0.37468,0.00414,0.00414,3E-05,49261.265262,5.706997,route,0.37353
0,,,,,,,,,,,,,,phero,0.004094
0,,,,,,,,,,,,,,check,0.004094
0,,,,,,,,,,,,,,cpy,3.4E-05
0,,,,,,,,,,,,,,total,5.6876964
0,15,8,1024,0.00253,0.01889,0.00027,0.00707,0.32334,0.00106,0.00106,6E-05,64780.184872,5.03141,rand,0.00057
1,15,8,1024,8E-05,0.00275,0.00019,0.00502,0.31985,0.00105,0.00105,5E-05,63656.758095,4.827408,read,0.005956
2,15,8,1024,8E-05,0.00278,0.00019,0.00501,0.32036,0.00106,0.00106,5E-05,63809.080223,4.835206,dist,0.000208
3,15,8,1024,8E-05,0.00271,0.00019,0.00508,0.32305,0.00106,0.00106,5E-05,62923.183355,4.875745,roulete,0.005446
4,15,8,1024,8E-05,0.00265,0.0002,0.00505,0.32181,0.00106,0.00106,2E-05,62609.653364,4.856956,route,0.321682
0,,,,,,,,,,,,,,phero,0.001058
0,,,,,,,,,,,,,,check,0.001058
0,,,,,,,,,,,,,,cpy,4.6E-05
0,,,,,,,,,,,,,,total,4.885345
0,15,8,2048,0.00015,0.00301,0.0002,0.00506,0.3265,0.00204,0.00204,7E-05,62694.766848,4.945938,rand,0.000104
1,15,8,2048,0.0001,0.00265,0.0002,0.00507,0.32912,0.00206,0.00206,3E-05,62210.329457,4.98428,read,0.003152
2,15,8,2048,9E-05,0.00422,0.0002,0.0051,0.32848,0.00206,0.00206,3E-05,63484.636392,4.976457,dist,0.000202
3,15,8,2048,9E-05,0.00306,0.0002,0.00509,0.32728,0.00207,0.00207,0.00016,63544.163269,4.957566,roulete,0.005088
4,15,8,2048,9E-05,0.00282,0.00021,0.00512,0.3295,0.00206,0.00206,5E-05,64024.852399,4.990636,route,0.328176
0,,,,,,,,,,,,,,phero,0.002058
0,,,,,,,,,,,,,,check,0.002058
0,,,,,,,,,,,,,,cpy,6.8E-05
0,,,,,,,,,,,,,,total,4.9709754
0,15,8,4096,9E-05,0.00273,0.0002,0.00511,0.38029,0.00403,0.00403,3E-05,63982.448791,5.785311,rand,9.4E-05
1,15,8,4096,9E-05,0.00268,0.00019,0.00509,0.38083,0.00405,0.00405,6E-05,62375.93754,5.793246,read,0.002708
2,15,8,4096,0.0001,0.00279,0.0002,0.00516,0.38267,0.00406,0.00406,3E-05,63093.758096,5.827403,dist,0.000198
3,15,8,4096,9E-05,0.0027,0.0002,0.00516,0.38304,0.00406,0.00406,3E-05,62316.025805,5.827072,roulete,0.005138
4,15,8,4096,0.0001,0.00264,0.0002,0.00517,0.38226,0.00407,0.00407,7E-05,64182.12885,5.814911,route,0.381818
0,,,,,,,,,,,,,,phero,0.004054
0,,,,,,,,,,,,,,check,0.004054
0,,,,,,,,,,,,,,cpy,4.4E-05
0,,,,,,,,,,,,,,total,5.8095886
0,15,8,8192,0.0001,0.00278,0.0002,0.00516,0.90566,0.0081,0.0081,7E-05,63321.968507,13.735455,rand,0.000108
1,15,8,8192,0.00011,0.0028,0.0002,0.00518,0.90853,0.00811,0.00811,4E-05,61834.165849,13.778972,read,0.003124
2,15,8,8192,0.00011,0.00428,0.0002,0.00523,0.90928,0.00819,0.00819,8E-05,63211.272599,13.79298,dist,0.0002
